guid,text_a,label
148,sch follow up meeting,follow-up
149,tell me about my next meeting,get_sales_records
150,Open tasks for the day,get_sales_records
151,what are my opptys,get_sales_records
152,show me my pipelines,get_sales_records
153,get me account pyramid,get_sales_records
154,get my open opportunities,get_sales_records
155,Get the opportunity for the next fiscal quarter,get_sales_records
156,what are my opps,get_sales_records
157,What tasks are past due,get_sales_records
158,Get my next meeting,get_sales_records
159,show me my pipeline,get_sales_records
160,what's next,get_sales_records
161,get my open to-dos for today,get_sales_records
162,get overdue to do,get_sales_records
163,overdue to do,get_sales_records
164,account360 for pinnacle,get_sales_records
165,Get the opportunities in my pipeline,get_sales_records
166,Do I have any pending tasks?,get_sales_records
167,I would like to see my pipeline,get_sales_records
168,what is the next mtg?,get_sales_records
169,Anything that I have to complete today,get_sales_records
170,get acct pinnacle,get_sales_records
171,Show me the details of opty,get_sales_records
172,who am I meeting next,get_sales_records
173,please show my next meeting,get_sales_records
174,get my next appt,get_sales_records
175,pipelines,get_sales_records
176,please give me my pipeline,get_sales_records
177,get all overdue tasks,get_sales_records
178,Can you give me a briefing of opportunity,get_sales_records
179,next meeting,get_sales_records
180,show tasks,get_sales_records
181,get my tasks for tomorrow,get_sales_records
182,show details for account pyramid,get_sales_records
183,what are my open opptys,get_sales_records
184,get open tasks for next week,get_sales_records
185,Get the details of opty,get_sales_records
186,Pipeline,get_sales_records
187,next sales meeting,get_sales_records
188,get pipeline in the next fiscal quarter,get_sales_records
189,Get the pipeline for the next fiscal quarter,get_sales_records
190,get my account,get_sales_records
191,send my opptys,get_sales_records
192,next appointment briefing,get_sales_records
193,get me tasks for yesterday,get_sales_records
194,Get the opportunities for the next fiscal quarter,get_sales_records
195,get overdue tasks,get_sales_records
196,please show me acct details for pinnacle,get_sales_records
197,nxt appointment,get_sales_records
198,next appt briefing,get_sales_records
199,my pipeline please,get_sales_records
200,What do I have to do today,get_sales_records
201,what are my open opportunities,get_sales_records
202,Get my biggest opportunities,get_sales_records
203,get me my open tasks from tomorrow till thursday,get_sales_records
204,please give me my pipelines,get_sales_records
205,My opportunities,get_sales_records
206,get tasks for today,get_sales_records
207,More information on opportunity,get_sales_records
208,sales pipeline,get_sales_records
209,what are my opportunities,get_sales_records
210,please show my next appointment,get_sales_records
211,What are my pending tasks?,get_sales_records
212,overdue tasks,get_sales_records
213,Opptys,get_sales_records
214,get account 360,get_sales_records
215,nxt appt,get_sales_records
216,Get pipeline for next quarter,get_sales_records
217,next mtg,get_sales_records
218,Show me my to-do list?,get_sales_records
219,open account huawei systems,get_sales_records
220,next appt,get_sales_records
221,Open my opportunities,get_sales_records
222,give me details about my next appt,get_sales_records
223,get overdue to dos,get_sales_records
224,get my open to do for today,get_sales_records
225,Show my opptys,get_sales_records
226,give me details about my next appointment,get_sales_records
227,get open tasks,get_sales_records
228,please send account details,get_sales_records
229,tasks due tomorrow,get_sales_records
230,get open opportunities,get_sales_records
231,what is my next app,get_sales_records
232,tell me about my next appointment,get_sales_records
233,what are my open tasks,get_sales_records
234,overdue todos,get_sales_records
235,get tasks for monday to friday,get_sales_records
236,show overdue tasks,get_sales_records
237,Do I have any open tasks for tomorrow?,get_sales_records
238,What tasks are due yesterday,get_sales_records
239,opportunity pipeline,get_sales_records
240,show me details of account abc corporations,get_sales_records
241,get me the details for account pyramid systems,get_sales_records
242,more information on account abc corporations,get_sales_records
243,Get opportunity,get_sales_records
244,get me my tasks for today,get_sales_records
245,A brief summary of opportunity,get_sales_records
246,What tasks are due today?,get_sales_records
247,Get opptys,get_sales_records
248,tell me about my next appt,get_sales_records
249,Tell me more about opportunity,get_sales_records
250,get me my tasks for tomorrow,get_sales_records
251,Get my pipeline,get_sales_records
252,My top opportunities,get_sales_records
253,what is next for me?,get_sales_records
254,my sales pipeline,get_sales_records
255,open tasks,get_sales_records
256,next sales appointment,get_sales_records
257,details of opty,get_sales_records
258,display opty,get_sales_records
259,Display the opportunities in next 180 days,get_sales_records
260,show details for account,get_sales_records
261,Can I know more about opportunity opty,get_sales_records
262,pipeline please,get_sales_records
263,view pipeline,get_sales_records
264,give me details about my next meeting,get_sales_records
265,Show my biggest opportunites,get_sales_records
266,get me task for today,get_sales_records
267,what do I need to know for my next appointment,get_sales_records
268,get pipeline for next fiscal quarter,get_sales_records
269,list opportunities,get_sales_records
270,get overdue to-dos,get_sales_records
271,What tasks are due?,get_sales_records
272,list pipeline,get_sales_records
273,account 360 for pinnacle,get_sales_records
274,give me my next appointment,get_sales_records
275,get account,get_sales_records
276,get task,get_sales_records
277,What do I have to do tomorrow,get_sales_records
278,Get me my open tasks,get_sales_records
279,get my to-dos for today,get_sales_records
280,What are my tasks for today?,get_sales_records
281,overdue to-dos,get_sales_records
282,get me the opties for next fiscal year,get_sales_records
283,Any tasks for the day?,get_sales_records
284,can i know more about account pyramid systems,get_sales_records
285,details of opportunity,get_sales_records
286,what do i need to know for my next meeting,get_sales_records
287,next appointment,get_sales_records
288,brief summary of account pyramid systems,get_sales_records
289,show pipeline,get_sales_records
290,overdue to dos,get_sales_records
291,please give me my next meeting briefing,get_sales_records
292,Opportunity details,get_sales_records
293,what's in my pipeline,get_sales_records
294,More information on opty,get_sales_records
295,view opportunities,get_sales_records
296,please show me acct details for pinnacle,get_sales_records
297,What must be completed today,get_sales_records
298,get my open to-do for today,get_sales_records
299,Get me the opportunities with contact,get_sales_records
300,Get me the details of opportunity,get_sales_records
301,Show my opportunities,get_sales_records
302,To-dos for the day?,get_sales_records
303,Show my biggest opportunity,get_sales_records
304,get my tasks for nov 15,get_sales_records
305,get my task for today,get_sales_records
306,get my open tasks for nov 15,get_sales_records
307,get me tasks for tomorrow,get_sales_records
308,My biggest opportunity,get_sales_records
309,get my account pinnacle,get_sales_records
310,what meeting is next,get_sales_records
311,get tasks for next week,get_sales_records
312,which appts next,get_sales_records
313,list my open opportunities,get_sales_records
314,show me my overdue tasks,get_sales_records
315,My opptys,get_sales_records
316,Get me the list of opportunities with contact,get_sales_records
317,show my pipeline,get_sales_records
318,get me the opties closing next fiscal quarter,get_sales_records
319,acct details please,get_sales_records
320,View to-dos,get_sales_records
321,give me information about my next meeting,get_sales_records
322,list open opportunities,get_sales_records
323,do I have a next appointment?,get_sales_records
324,get my to do for today,get_sales_records
325,view pipelines,get_sales_records
326,please give me my next appointment briefing,get_sales_records
327,give me information about my next appointment,get_sales_records
328,get my task for yesterday,get_sales_records
329,account details please,get_sales_records
330,what are my tasks due today,get_sales_records
331,show three opportunities in my pipeline,get_sales_records
332,get overdue todos,get_sales_records
333,get tasks for tomorrow,get_sales_records
334,please give me my next appt briefing,get_sales_records
335,get the opptys in my pipeline,get_sales_records
336,My biggest opportunities,get_sales_records
337,Tasks,get_sales_records
338,Sales Briefing,sales_briefing
339,please send sales briefing,sales_briefing
340,sales brieifng,sales_briefing
341,sales breifing,sales_briefing
342,Sales briefing,sales_briefing
343,what is my sales briefing,sales_briefing
344,sales briefing,sales_briefing
345,sales brfing,sales_briefing
346,show me my sales briefing,sales_briefing
347,Today's update,sales_briefing
348,daily sales briefing,sales_briefing
349,Today's briefing,sales_briefing
350,Briefing,sales_briefing
351,What do I need to know about,sales_briefing
352,briefing sales,sales_briefing
353,get my sales briefing,sales_briefing
354,send me my sales briefing,sales_briefing
355,sale briefin,sales_briefing
356,morning briefing,sales_briefing
357,How am I doing,sales_briefing
358,daily breefings,sales_briefing
359,brief me,sales_briefing
360,sale breifng,sales_briefing
361,send sales briefing,sales_briefing
362,sales breefing,sales_briefing
363,how is my day today?,sales_briefing
364,let me know my sales briefing,sales_briefing
365,daily brefings,sales_briefing
366,Tell me how Im doing,sales_briefing
367,daily briefings,sales_briefing
368,Get me the summary of information I should know today,sales_briefing
369,My briefing,sales_briefing
370,sales briefing please,sales_briefing
371,briefing for sales,sales_briefing
372,pls send sales briefing,sales_briefing
373,how is my day?,sales_briefing
374,Update for today,sales_briefing
375,Get me my sales briefing,sales_briefing
376,brief me about my sales,sales_briefing
